anoun,adjective
proud,proud
praised exceedingly,praised
exceedingly difficult,exceedingly difficult
highly praised,highly praised
overjoyed,overjoyed
sleepy,sleepy
under the hand,underhanded
indebted,indebted
haughty,haughty
high,high
high,high
looked at from beneath,under-viewed
highest,highest
with ears cut off,earless
attractive,attractive
weighty,weighty
naked,naked
possible,possible
possible,possible
pleasing,pleasing
born after,born after
little,little
new,new
new,new
crafty,crafty
thick,thick
faithful,faithful
harmful,harmful
senior,senior
earlier,earlier
comprehending,comprehending
more daringly,daring
prudent,prudent
good,good
not to be filled,unfillable
uncomprehending,uncomprehending
dishonored,dishonored
close,close
light,light
forceful,forceful
forceful,forceful
wonderful,wonderful
fine,fine
great,great
stained,stained
little,little
only,only
new,new
totally abominable,abominable
earlier,earlier
first,first
first,first
prudent,prudent
smallest,smallest
glorious,glorious
hostile,hostile
sordid,sordid
that may be taken,takable
firm,firm
better,better
better,better
deep,deep
weighty,weighty
weighty,weighty
royal,royal
eaten,eaten
geometrical,geometrical
earth-like,earthly
sweet,sweet
sweet,sweet
one must know,knowable
tenth,tenth
right,right
timid,timid
leather,leather
burdensome,burdensome
assayed,assayed
delightful,delightful
beneficent,beneficent
easily moved,easily moved
commended,commendable
easily handled,manageable
easier,easier
stout,stout
enviable,enviable
allowed by the laws of God and men,lawful
notable,notable
bold,bold
fine,fine
stolen,stolen
called,named
common,common
dominant,dominant
secret,secret
thin,thin
white,white
white,white
painful,painful
brimming,brimming
brimming,brimming
little,little
only child,only child
times as many as,multiplicative
loathsome,loathsome
new,new
newly sprouted,newly sprouted
intellectual,intellectual
one must account,accountable
by night,nocturnal
of wood,wooden
resident,residential
all-surveying,omniscient
all-powerful,omnipotent
coastal,coastal
overflowing,overflowing
bitter,bitter
broad,broad
rich,rich
floating,floating
various,various
of battle,martial
consisting of many parts,multipart
wordy,wordy
costly,costly
for a long time,long-lasting
producing many at a birth,prolific
harmful,harmful
of what kind,categorical
attached,attached
soft,soft
dear,dear
early,early
firstborn,firstborn
conspicuous,conspicuous
how much?,how much?
clear,clear
moth-eaten,moth-eaten
hard,hard
dark,dark
gloomy,gloomy
narrow,narrow
knotted,knotted
plaited,plaited
your,your
complete,complete
humble,humble
troublous,troubling
four-cornered,quadrilateral
far-shining,distant
worked in relief,relief-structured
practised,practiced
clear,clear
for a despotic ruler,despotic
corruptible,corruptible
fond of good,virtuous
fearful,fearful
purple,purple
prudent,prudent
handmade,handmade
bearing green grass,grassy
serviceable,serviceable
suitable,suitable
Anointed,Anointed
lame,lame
that can be felt,palpable
cold,cold
without a king,kingless
impossible,impossible
unclean,unclean
unclean,unclean
uncovered,uncovered
spotless,spotless
sleepless,sleepless
heard,heard
exact,exact
licentious,licentious
unhindered,unhindered
truthful,truthful
truthful,truthful
ΣΩΣΤΌ,σωστός (sostós)
carefree,carefree
unmeasured,unmeasured
dimly seen,dim
undefiled,undefiled
unworthy,unworthy
for a man,masculine
untraceable,untraceable
of carbuncle,carbuncular
imperceptive,imperceptive
accommodating,accommodating
accommodating,accommodating
male,male
male,male
irreverent,irreverent
infirm,infirm
secure,secure
inconvenient,inconvenient
unprofitable,unprofitable
not offered,unoffered
unburnt,unburnt
unceasing,unceasing
lawless,lawless
without roof,roofless
incorruptible,incorruptible
incorruptible,incorruptible
holy,holy
all at once,simultaneous
one must admit,admitted
one must come,forthcoming
apparent,apparent
taken to heart,heartfelt
of a year,annual
beyond what is ordained,ordained
belonging to an exit,exit-related
skillful,skillful
cravings,craving
cursed,cursed
expert,expert
each individually,individual
one,singular
containing fruit,fruit-bearing
full of amazement,astonishing
quite white,whitish
abiding by,abiding
of three strands,braided
one,solitary
day old,day-old
sweet,sweet
worse,worse
of equal value,equivalent
sacred,sacred
adequate,adequate
adequate,adequate
cheerful,cheerful
cheerful,cheerful
his own,his own
equal,equal
few,few
sharp,sharp
orphaned,orphaned
of clay,clayey
made of solid beaten metal,solid
completely burnt,burnt
whole,whole
given to wantonness,wanton
your,your
your,your
exceedingly glorious,gloriously exalted
praised exceedingly,exceedingly praised
attractive,attractive
ripe,ripe
that may be taken,takable
sweet,sweet
possible,possible
for putting in motion,kinetic
thin,thin
rich,rich
harmful,harmful
luminous,luminous
serviceable,serviceable
imperceptive,imperceptive
painful,painful
high,high
stained,stained
comprehending,comprehending
all-holy,all-holy
precious,precious
bearing away the prize,prize-winning
mine,mine
vindicator,vindicative
of pious soul,pious
eternal,eternal
known,known
possible,possible
producing changes,transformative
fine,fine
just the one,sole
hating mankind,misanthropic
hater of virtue,virtueless
hired hand,hired
belonging to war,martial
very merciful,merciful
agreement,agreement
baldheaded,baldheaded
loving one's life,life-loving
good,good
loved,beloved
irresponsible,irresponsible
irresponsible,irresponsible
lawless,lawless
worthy,worthy
holy,holy
celestial,celestial
hostile,hostile
valued,valued
equally animated,equally animated
lazy,lazy
highest,highest
savage-minded,savage-minded
full of wild beasts,beastly
great,great
irreverent,irreverent
shoulder,shoulder
